gene	cytoband
BAHCC1	17q25.3
RNF175	4q31.3
CEACAM3	19q13.2
FUCA2	6q24.2
C14orf119	14q11.2
MAP3K6	1p36.11
TMEM229A	7q31.32
INTS5	11q12.3
KANSL2	12q13.11
COX8C	14q32.12
SENP8	15q23
CRIP3	6p21.1
LSM14B	20q13.33
EDC4	16q22.1
SPX	12p12.1
TM4SF19	3q29
SFXN5	2p13.2
USP13	3q26.33
SH2D1A	23q25
B3GALT2	1q31.2
KIAA1217	10p12.1
ANKRD9	14q32.31
RFC5	12q24.23
PRICKLE1	12q12
CBWD6	9p11.2
PDE6H	12p12.3
ARSF	23p22.33
SLC2A8	9q33.3
HSFX2	23q28
CALM3	19q13.32
FPR2	19q13.41
PRPS2	23p22.2
RP11-96L14.7	1p36.11
DNAH6	2p11.2
FBXO17	19q13.2
ZNF787	19q13.43
C1orf174	1p36.32
CLNK	4p16.1
XRCC3	14q32.33
TERF2	16q22.1
HSPBP1	19q13.42
SIX2	2p21
CNN2	19p13.3
SLC35E2A	1p36.33
HS6ST1	2q14.3
CTNNBL1	20q11.23
HNF4A	20q13.12
TNPO2	19p13.13
AKAP4	23p11.22
UQCRFS1	19q12
EDEM2	20q11.22
CRTAC1	10q24.2
SEC14L5	16p13.3
RNF222	17p13.1
QPRT	16p11.2
NCBP2AS2	3q29
SYNGR4	19q13.33
RP11-724O16.1	2q31.1
B2M	15q21.1
RUNX3	1p36.11
MEIOB	16p13.3
BCAP31	23q28
PROK2	3p13
NOD1	7p14.3
C20orf85	20q13.32
PRDM12	9q34.12
DAGLA	11q12.2
ETFDH	4q32.1
LCP1	13q14.13
ZDHHC22	14q24.3
ANKFN1	17q22
ZNF112	19q13.31
TFF1	21q22.3
C6orf141	6p12.3
PSMB10	16q22.1
SLC28A2	15q21.1
CD68	17p13.1
GNPAT	1q42.2
RAB12	18p11.22
MCUR1	6p23
FANCM	14q21.2
KRT222	17q21.2
FAM187A	17q21.31
SPRR2E	1q21.3
FUT6	19p13.3
CDHR4	3p21.31
PTHLH	12p11.22
HDAC10	22q13.33
LRRC23	12p13.31
VSIG8	1q23.2
CDH11	16q21
OXA1L	14q11.2
HMGB3	23q28
ZNF620	3p22.1
BORCS6	17p13.1
ARSI	5q32
ANGPTL7	1p36.22
ITK	5q33.3
LY9	1q23.3
CDKAL1	6p22.3
NPIPB11	16p11.2
UGT1A3	2q37.1
HLA-C	6p21.33
RSPRY1	16q13
GH1	17q23.3
DAPK3	19p13.3
ERLEC1	2p16.2
RP11-569D9.5	13q34
ABCG5	2p21
UCKL1	20q13.33
WDR49	3q26.1
HOXA10-HOXA9	7p15.2
ADORA1	1q32.1
FES	15q26.1
DOP1B	21q22.12
ZNF697	1p12
ARMH1	1p34.1
ACTR1A	10q24.32
KLHDC9	1q23.3
SRSF2	17q25.1
DNAJC21	5p13.2
CARHSP1	16p13.2
PLLP	16q13
RAP1B	12q15
MAP2K3	17p11.2
C2orf92	2q11.2
CCR4	3p22.3
CDC25C	5q31.2
ADGRL2	1p31.1
TEF	22q13.2
HMGB4	1p35.1
SLC9A3	5p15.33
ANKDD1A	15q22.31
PIGN	18q21.33
SNX3	6q21
WDR64	1q43
STIM2	4p15.2
TMEM191C	22q11.21
SELENOS	15q26.3
USP31	16p12.2
RAB11FIP3	16p13.3
ZNF638	2p13.2
MGME1	20p11.23
KRTAP10-3	21q22.3
C9orf57	9q21.13
CEP128	14q31.1
MCCC1	3q27.1
B3GNT4	12q24.31
MFSD8	4q28.2
FAM25A	10q23.2
MAP3K1	5q11.2
ACIN1	14q11.2
MC2R	18p11.21
ZNF500	16p13.3
NXPE4	11q23.2
ZNF451	6p12.1
PHLDA3	1q32.1
HJURP	2q37.1
MTRF1L	6q25.2
SLC25A29	14q32.2
KRTAP2-3	17q21.2
CCDC115	2q21.1
H2AC8	6p22.2
NELL1	11p15.1
PARP9	3q21.1
WFDC2	20q13.12
KRT28	17q21.2
CD4	12p13.31
FXR2	17p13.1
AL161905.1	6p21.1
IPMK	10q21.1
CTCFL	20q13.31
CSNK1G2	19p13.3
CMA1	14q12
